b 	 theta 
-3.000000 	 48.542390 
-2.990000 	 33.442345 
-2.980000 	 32.816869 
-2.970000 	 25.509168 
-2.960000 	 70.556984 
-2.950000 	 -81.268431 
-2.940000 	 -58.087749 
-2.930000 	 43.639111 
-2.920000 	 -1.160537 
-2.910000 	 -9.863352 
-2.900000 	 12.250567 
-2.890000 	 13.304200 
-2.880000 	 14.903334 
-2.870000 	 24.823197 
-2.860000 	 35.100856 
-2.850000 	 45.772475 
-2.840000 	 57.201482 
-2.830000 	 70.024881 
-2.820000 	 85.525694 
-2.810000 	 -72.605928 
-2.800000 	 -13.474389 
-2.790000 	 -89.080160 
-2.780000 	 52.692527 
-2.770000 	 34.481457 
-2.760000 	 32.466818 
-2.750000 	 36.952044 
-2.740000 	 45.041471 
-2.730000 	 55.577448 
-2.720000 	 68.315806 
-2.710000 	 83.851115 
-2.700000 	 -75.513379 
-2.690000 	 -38.068986 
-2.680000 	 58.440863 
-2.670000 	 -75.670307 
-2.660000 	 -26.525104 
-2.650000 	 -73.354940 
-2.640000 	 -88.912015 
-2.630000 	 -36.492786 
-2.620000 	 83.053995 
-2.610000 	 49.735772 
-2.600000 	 -27.540779 
-2.590000 	 -54.742538 
-2.580000 	 -72.397296 
-2.570000 	 -85.945692 
-2.560000 	 82.743745 
-2.550000 	 72.861507 
-2.540000 	 63.994379 
-2.530000 	 55.915886 
-2.520000 	 48.512414 
-2.510000 	 41.771759 
-2.500000 	 35.845954 
-2.490000 	 31.374853 
-2.480000 	 32.003496 
-2.470000 	 -24.810758 
-2.460000 	 -0.712095 
-2.450000 	 9.430676 
-2.440000 	 22.117120 
-2.430000 	 60.352899 
-2.420000 	 -2.202289 
-2.410000 	 75.088499 
-2.400000 	 -25.833626 
-2.390000 	 -7.249013 
-2.380000 	 -66.377981 
-2.370000 	 -89.712242 
-2.360000 	 48.558037 
-2.350000 	 -3.307078 
-2.340000 	 3.489477 
-2.330000 	 18.908148 
-2.320000 	 32.755566 
-2.310000 	 38.361623 
-2.300000 	 27.324175 
-2.290000 	 -3.596787 
-2.280000 	 -33.845378 
-2.270000 	 -48.658608 
-2.260000 	 64.362884 
-2.250000 	 -3.174957 
-2.240000 	 34.171977 
-2.230000 	 44.137763 
-2.220000 	 50.766948 
-2.210000 	 56.638700 
-2.200000 	 62.278272 
-2.190000 	 67.782874 
-2.180000 	 73.152151 
-2.170000 	 78.370290 
-2.160000 	 83.425376 
-2.150000 	 88.311919 
-2.140000 	 -86.970629 
-2.130000 	 -82.419779 
-2.120000 	 -78.031489 
-2.110000 	 -73.801176 
-2.100000 	 -69.724328 
-2.090000 	 -65.796863 
-2.080000 	 -62.015314 
-2.070000 	 -58.376898 
-2.060000 	 -54.879517 
-2.050000 	 -51.521715 
-2.040000 	 -48.302608 
-2.030000 	 -45.221787 
-2.020000 	 -42.279220 
-2.010000 	 -39.475137 
-2.000000 	 -36.809922 
-1.990000 	 -34.283990 
-1.980000 	 -31.897679 
-1.970000 	 -29.651142 
-1.960000 	 -27.544247 
-1.950000 	 -25.576490 
-1.940000 	 -23.746919 
-1.930000 	 -22.054081 
-1.920000 	 -20.495983 
-1.910000 	 -19.070069 
-1.900000 	 -17.773224 
-1.890000 	 -16.601788 
-1.880000 	 -15.551597 
-1.870000 	 -14.618027 
-1.860000 	 -13.796056 
-1.850000 	 -13.080337 
-1.840000 	 -12.465265 
-1.830000 	 -11.945059 
-1.820000 	 -11.513831 
-1.810000 	 -11.165659 
-1.800000 	 -10.894651 
-1.790000 	 -10.694997 
-1.780000 	 -10.561020 
-1.770000 	 -10.487212 
-1.760000 	 -10.468261 
-1.750000 	 -10.499067 
-1.740000 	 -10.574751 
-1.730000 	 -10.690652 
-1.720000 	 -10.842316 
-1.710000 	 -11.025477 
-1.700000 	 -11.236031 
-1.690000 	 -11.470002 
-1.680000 	 -11.723504 
-1.670000 	 -11.992696 
-1.660000 	 -12.273730 
-1.650000 	 -12.562699 
-1.640000 	 -12.855579 
-1.630000 	 -13.148165 
-1.620000 	 -13.436013 
-1.610000 	 -13.714366 
-1.600000 	 -13.978097 
-1.590000 	 -14.221642 
-1.580000 	 -14.438945 
-1.570000 	 -14.623402 
-1.560000 	 -14.767823 
-1.550000 	 -14.864390 
-1.540000 	 -14.904612 
-1.530000 	 -14.879219 
-1.520000 	 -14.777886 
-1.510000 	 -14.588511 
-1.500000 	 -14.295368 
-1.490000 	 -13.874496 
-1.480000 	 -13.281994 
-1.470000 	 -12.422950 
-1.460000 	 -11.060504 
-1.450000 	 -8.496190 
-1.440000 	 -1.915630 
-1.430000 	 -43.358939 
-1.420000 	 7.759671 
-1.410000 	 16.060472 
-1.400000 	 20.896674 
-1.390000 	 27.286424 
-1.380000 	 40.046562 
-1.370000 	 72.027903 
-1.360000 	 72.340751 
-1.350000 	 69.251263 
-1.340000 	 64.885313 
-1.330000 	 62.128771 
-1.320000 	 61.011493 
